"id","product_id","price","zone_id","created_at","updated_at"
"2895","91","60.61","4","14/10/2025 16:04:58","14/10/2025 16:04:58"
"2896","92","60.61","1","14/10/2025 16:11:16","14/10/2025 16:11:16"
"2897","92","15.15","2","14/10/2025 16:11:25","14/10/2025 16:11:25"
"2898","92","270","3","14/10/2025 16:11:32","14/10/2025 16:11:32"
"2899","92","60.61","4","14/10/2025 16:11:41","14/10/2025 16:11:41"
"2900","93","15.15","2","14/10/2025 16:19:18","14/10/2025 16:19:18"
"2901","93","60.61","1","14/10/2025 16:19:25","14/10/2025 16:19:25"
"2902","93","60.61","4","14/10/2025 16:19:32","14/10/2025 16:19:32"
"2903","93","270","3","14/10/2025 16:19:39","14/10/2025 16:19:39"
"2904","94","60.61","1","14/10/2025 16:45:37","14/10/2025 16:45:37"
"2905","94","15.15","2","14/10/2025 16:45:44","14/10/2025 16:45:44"
"2906","94","270","3","14/10/2025 16:45:50","14/10/2025 16:45:50"
"2907","94","60.61","4","14/10/2025 16:45:59","14/10/2025 16:45:59"
"2908","95","15.15","2","14/10/2025 16:51:21","14/10/2025 16:51:21"
"2909","95","270","3","14/10/2025 16:56:10","14/10/2025 16:56:10"
"2910","95","60.61","1","14/10/2025 16:56:22","14/10/2025 16:56:22"
"2911","95","60.61","4","14/10/2025 16:56:47","14/10/2025 16:56:47"
"2912","96","60.61","1","14/10/2025 17:07:07","14/10/2025 17:07:07"
"2913","96","15.15","2","14/10/2025 17:07:14","14/10/2025 17:07:14"
"2914","96","270","3","14/10/2025 17:07:23","14/10/2025 17:07:23"
"2915","96","60.61","4","14/10/2025 17:07:37","14/10/2025 17:07:37"
"2916","97","60.61","1","14/10/2025 17:32:02","14/10/2025 17:32:02"
"2917","97","15.15","2","14/10/2025 17:32:12","14/10/2025 17:32:12"
"2918","97","270","3","14/10/2025 17:32:19","14/10/2025 17:32:19"
"2919","97","60.61","4","14/10/2025 17:32:28","14/10/2025 17:32:28"
